,UUID,PLAYER,BIRTH_DATE,POS,EXPERIENCE,HEIGHT,WEIGHT,NATIONALITY,COLLEGE
49,f5dda38b-ca35-4fa0-a280-520d75367c6e,Alan Ogg,1967-07-05,C,2,7-2,240,US,UAB
50,3228cfb8-05b1-452b-bba9-842964afbe68,Alan Williams,1993-01-28,PF,3,6-8,265,US,UC Santa Barbara
51,c63e64c8-3319-48f5-b0c1-a532c09e85df,Alando Tucker,1984-02-11,SF,2,6-6,205,US,Wisconsin
52,13a1c752-78e1-4732-be0d-888703f05cfb,Albert King,1959-12-17,SF,7,6-6,190,US,Maryland
53,28766193-333a-4e1a-8d1e-ce95f81c27bd,Alec Burks,1991-07-20,SG,9,6-6,214,US,Colorado
54,f22ec94a-3d44-428c-88da-29cada61d85f,Alec Kessler,1967-01-13,PF,3,6-11,230,US,Georgia
55,40757515-3061-4f30-81c4-fa3abe611faa,Alec Peters,1995-04-13,PF,R,6-9,232,US,Valparaiso
56,e5450e3d-c4b5-4e66-9481-73cfc7d02d7f,Aleksandar Djordjevic,1967-08-26,SG,R,6-2,198,RS,
57,0dd5867e-8d8a-4ec8-be57-303919603736,Aleksandar Radojević,1976-08-08,C,1,7-3,250,ME,Barton County Community College
58,f70ac544-c400-4a5a-9ac5-2b319242feee,Aleksej Pokusevski,2001-12-26,PF,R,7-0,190,RS,
59,e36c3d2d-b579-4940-a4a8-c152a02b9274,Alen Smailagić,2000-08-18,PF,1,6-10,215,RS,
60,5c98dde1-58bd-44bf-8127-a78fb866d4d9,Alex Acker,1983-01-21,SG,1,6-5,185,US,Pepperdine
61,a788a1a0-ae77-49b0-a579-399ef4197d7a,Alex Blackwell,1970-06-27,SF,R,6-6,250,US,Monmouth University
62,1c205a08-3e47-4265-b371-fb7f8b422da9,Alex Bradley,1959-10-30,SF,R,6-6,215,US,Villanova
63,f6103e25-6950-42fe-aba1-22df79ee1b57,Alex Caruso,1994-02-28,PG,3,6-4,186,US,Texas A&M
64,c01723c3-7751-4db2-ab31-988898c03bed,Alex English,1954-01-05,SF,14,6-8,190,US,South Carolina
65,760d1eaa-e957-4e7c-bc2c-ed5fef3118b4,Alex Garcia,1980-03-04,SG,1,6-3,220,BR,
66,9a5ffb91-575c-482c-85db-547d90a5e950,Alex Kirk,1991-11-14,C,R,7-0,245,US,New Mexico
67,00cd3d50-659a-4972-8f67-f7dcfb57e939,Alex Len,1993-06-16,C,7,7-0,250,UA,Maryland
68,ff660dbb-31bc-4224-bb8b-580e0344c79b,Alex Poythress,1993-09-06,PF,2,6-9,235,US,Kentucky
69,5bc045af-ce0d-4e29-8381-9c61a86784fb,Alex Scales,1978-07-03,SG,R,6-4,185,US,Oregon
70,8bae847a-1aae-429d-bc09-81e94ab6625c,Alex Stepheson,1987-08-07,PF,R,6-10,270,US,"UNC, USC"
71,a8af5919-3dd2-46c3-9369-0ec927c3c8e7,Alex Stivrins,1962-11-29,PF,1,6-8,220,US,"Creighton, Colorado"
72,eb07ac65-202d-4d75-8d1b-66dd3e54442f,Alexander Johnson,1983-02-08,PF,1,6-9,240,US,Florida State
73,9c076940-2f3a-4150-9e3a-1c2bb18eb1f9,Alexander Volkov,1964-03-28,C,1,6-10,218,RU,
74,4f07dd50-b8b5-4dd8-ada5-a24628f62894,Alexey Shved,1988-12-16,SG,2,6-6,190,RU,
75,03bad5ee-e1de-429a-b7ab-34e6c0fdce8a,Alexis Ajinça,1988-05-06,C,6,7-2,248,FR,
76,2586b805-186d-4f58-b86f-92375fc4a2e6,Alfonzo McKinnie,1992-09-17,SF,3,6-7,215,US,Green Bay
77,fe930b49-4363-42d6-9107-fb80c1543772,Alfredrick Hughes,1962-07-19,SG,R,6-5,215,US,Loyola Chicago
78,11ace2dc-fa0e-445e-8169-a576237d89ec,Alize Johnson,1996-04-22,PF,2,6-7,212,US,Missouri State
79,08687c55-a33e-4eac-b2e9-219aafe6b161,Allan Bristow,1951-08-23,SF,9,6-7,210,US,Virginia Tech
80,3be34679-accc-4c52-bacc-3f081d87a4b5,Allan Houston,1971-04-20,SG,11,6-6,200,US,Tennessee
81,ddc178bd-e33c-46a1-8669-4d4750432e12,Allan Ray,1984-06-17,SG,R,6-2,190,US,Villanova
82,16de08b9-f7c0-4938-b28c-f69a87dbe753,Allen Crabbe,1992-04-09,SF,6,6-5,212,US,California
83,d7504a01-54c5-4f77-a9ec-171870dc6dc0,Allen Iverson,1975-06-07,SG,13,6-0,165,US,Georgetown
84,eeb2ee32-d39c-4268-a586-3ccc62eb123e,Allen Leavell,1957-05-27,SG,9,6-1,170,US,Oklahoma City University
85,b0a71830-d4ee-427a-a937-654076fb15f7,Allen Murphy,1952-07-15,SG,1,6-5,190,US,Louisville
86,39e6debe-e427-47a4-9de4-f5588f5c14ac,Allonzo Trier,1996-01-17,SG,1,6-4,200,US,Arizona
